player_id,full_name,emery_shots,emery_goals,emery_xg,emery_matches_with_shot,emery_goals_minus_xg,emery_goals_minus_xg_per_shot,not_emery_shots,not_emery_goals,not_emery_xg,not_emery_matches_with_shot,not_emery_goals_minus_xg,not_emery_goals_minus_xg_per_shot
6ca5ec4b,Alex Iwobi,48,5,4.16,29,0.8399999999999999,0.017499999999999998,280.0,23.0,23.44,145.0,-0.4400000000000013,-0.001571428571428576
52611641,Lucas Torreira,47,3,4.07,32,-1.0700000000000003,-0.022765957446808517,88.0,10.0,8.58,57.0,1.42,0.016136363636363636
11b9265b,Alberto Moreno,31,4,4.01,21,-0.009999999999999787,-0.00032258064516128344,83.0,2.0,4.8,60.0,-2.8,-0.033734939759036145
1a992676,Julian Draxler,27,4,3.9,19,0.10000000000000009,0.003703703703703707,72.0,9.0,8.73,47.0,0.2699999999999996,0.0037499999999999942
9907b1c8,Nicolò Zaniolo,39,3,3.7800000000000002,20,-0.7800000000000002,-0.020000000000000007,272.0,26.0,26.080000000000002,119.0,-0.08000000000000185,-0.00029411764705883033
518f2234,Alex Baena,37,10,3.69,20,6.3100000000000005,0.17054054054054055,202.0,13.0,19.45,82.0,-6.449999999999999,-0.031930693069306924
a1d5bd30,Marcus Rashford,24,2,3.6,10,-1.6,-0.06666666666666667,685.0,99.0,92.37,244.0,6.6299999999999955,0.009678832116788315
ce5143da,Danny Welbeck,14,3,3.59,7,-0.5899999999999999,-0.042142857142857135,325.0,44.0,53.1,146.0,-9.100000000000001,-0.028000000000000004
57e3f0c7,Nicolas Pépé,33,3,3.54,13,-0.54,-0.016363636363636365,414.0,67.0,57.01,167.0,9.990000000000002,0.0241304347826087
b4a014b1,Diego Carlos,21,1,3.39,16,-2.39,-0.11380952380952382,151.0,8.0,11.540000000000001,102.0,-3.540000000000001,-0.02344370860927153
48a5a5d6,Gabriel Martinelli,13,3,3.13,4,-0.1299999999999999,-0.009999999999999992,324.0,44.0,44.75,147.0,-0.75,-0.0023148148148148147
3f2d59fe,Shkodran Mustafi,29,4,3.02,18,0.98,0.03379310344827586,45.0,5.0,2.84,36.0,2.16,0.048
1b84dbe1,Lucas Digne,48,3,2.85,40,0.1499999999999999,0.003124999999999998,100.0,5.0,4.68,68.0,0.3200000000000003,0.0032000000000000028
a3b03921,Joe Willock,21,3,2.73,11,0.27,0.012857142857142859,168.0,18.0,20.01,97.0,-2.0100000000000016,-0.011964285714285724
b682dcf6,Sokratis Papastathopoulos,23,4,2.73,20,1.27,0.05521739130434783,30.0,4.0,3.06,23.0,0.94,0.03133333333333333
16380240,Mesut Özil,17,6,2.64,13,3.36,0.1976470588235294,57.0,7.0,7.12,37.0,-0.1200000000000001,-0.0021052631578947385
e61b8aee,Granit Xhaka,42,4,2.5100000000000002,27,1.4899999999999998,0.035476190476190474,273.0,19.0,14.92,157.0,4.08,0.014945054945054945
7c56da38,Christopher Nkunku,20,4,2.44,10,1.56,0.078,412.0,76.0,70.81,177.0,5.189999999999998,0.012597087378640771
17695062,Emile Smith Rowe,13,2,2.43,6,-0.43000000000000016,-0.03307692307692309,122.0,19.0,16.04,78.0,2.960000000000001,0.02426229508196722
fbd6378b,Aïssa Mandi,12,1,2.42,10,-1.42,-0.11833333333333333,56.0,6.0,9.24,46.0,-3.24,-0.057857142857142864
41e7ef1c,Layvin Kurzawa,25,5,2.4,15,2.6,0.10400000000000001,28.0,3.0,3.7600000000000002,20.0,-0.7600000000000002,-0.027142857142857153
828657ff,Amadou Onana,20,4,2.2800000000000002,14,1.7199999999999998,0.086,80.0,4.0,7.69,55.0,-3.6900000000000004,-0.046125000000000006
