Date,Team,Country
1941-05-12,Atletico,ESP
1941-05-13,Atletico,ESP
1941-05-14,Atletico,ESP
1941-05-15,Atletico,ESP
1941-05-16,Atletico,ESP
1941-05-17,Atletico,ESP
1941-05-18,Atletico,ESP
1941-05-19,Atletico,ESP
1941-05-20,Atletico,ESP
1941-05-21,Atletico,ESP
1941-05-22,Atletico,ESP
1941-05-23,Atletico,ESP
1941-05-24,Atletico,ESP
1941-05-25,Atletico,ESP
1941-05-26,Atletico,ESP
1941-05-27,Atletico,ESP
1941-05-28,Atletico,ESP
1941-05-29,Atletico,ESP
1941-05-30,Atletico,ESP
1941-05-31,Atletico,ESP
1941-06-01,Atletico,ESP
1941-06-02,Atletico,ESP
1941-06-03,Atletico,ESP
1941-06-04,Atletico,ESP
1941-06-05,Atletico,ESP
1941-06-06,Atletico,ESP
1941-06-07,Atletico,ESP
1941-06-08,Atletico,ESP
1941-06-09,Atletico,ESP
1941-06-10,Atletico,ESP
1941-06-11,Atletico,ESP
1941-06-12,Atletico,ESP
1941-06-13,Atletico,ESP
1941-06-14,Atletico,ESP
1941-06-15,Atletico,ESP
1941-06-16,Atletico,ESP
1941-06-17,Atletico,ESP
1941-06-18,Atletico,ESP
1941-06-19,Atletico,ESP
1941-06-20,Atletico,ESP
1941-06-21,Atletico,ESP
1941-06-22,Atletico,ESP
1941-06-23,Atletico,ESP
1941-06-24,Atletico,ESP
1941-06-25,Atletico,ESP
1941-06-26,Atletico,ESP
1941-06-27,Atletico,ESP
1941-06-28,Atletico,ESP
1941-06-29,Atletico,ESP
1941-06-30,Atletico,ESP
1941-07-01,Atletico,ESP
1941-07-02,Atletico,ESP
1941-07-03,Atletico,ESP
1941-07-04,Atletico,ESP
1941-07-05,Atletico,ESP
1941-07-06,Atletico,ESP
1941-07-07,Atletico,ESP
1941-07-08,Atletico,ESP
1941-07-09,Atletico,ESP
1941-07-10,Atletico,ESP
1941-07-11,Atletico,ESP
1941-07-12,Atletico,ESP
1941-07-13,Atletico,ESP
1941-07-14,Atletico,ESP
1941-07-15,Atletico,ESP
1941-07-16,Atletico,ESP
1941-07-17,Atletico,ESP
1941-07-18,Atletico,ESP
1941-07-19,Atletico,ESP
1941-07-20,Atletico,ESP
1941-07-21,Atletico,ESP
1941-07-22,Atletico,ESP
1941-07-23,Atletico,ESP
1941-07-24,Atletico,ESP
1941-07-25,Atletico,ESP
1941-07-26,Atletico,ESP
1941-07-27,Atletico,ESP
1941-07-28,Atletico,ESP
1941-07-29,Atletico,ESP
1941-07-30,Atletico,ESP
1941-07-31,Atletico,ESP
1941-08-01,Atletico,ESP
1941-08-02,Atletico,ESP
1941-08-03,Atletico,ESP
1941-08-04,Atletico,ESP
1941-08-05,Atletico,ESP
1941-08-06,Atletico,ESP
1941-08-07,Atletico,ESP
1941-08-08,Atletico,ESP
1941-08-09,Atletico,ESP
1941-08-10,Atletico,ESP
1941-08-11,Atletico,ESP
1941-08-12,Atletico,ESP
1941-08-13,Atletico,ESP
1941-08-14,Atletico,ESP
