season,team,ref_elo_p10,ref_elo_p50,ref_elo_p90,n_used_p10,n_used_p50,n_used_p90,n_ok_p10,n_ok_p50,n_ok_p90,n_bad_p10,n_bad_p50,n_bad_p90,total_exp_pts_p10,total_exp_pts_p50,total_exp_pts_p90,mean_exp_pts_p10,mean_exp_pts_p50,mean_exp_pts_p90,n_sched
2024/2025,Real Madrid,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.998889999617628,10.895818006136357,14.383390702549832,0.7498612499522035,1.3619772507670447,1.797923837818729,8
2024/2025,Sporting CP,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.709237737831252,10.84874107685041,14.588936201681273,0.7136547172289065,1.3560926346063014,1.8236170252101591,8
2024/2025,Feyenoord,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.071506935513892,10.843555946017142,14.374641709929126,0.7589383669392366,1.3554444932521428,1.796830213741141,8
2024/2025,Club Brugge,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.6250499587631575,10.7914376360501,14.47162197387009,0.7031312448453946,1.3489297045062623,1.8089527467337612,8
2024/2025,RB Leipzig,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.5382662786794095,10.611981494058217,14.270403090493806,0.6922832848349263,1.326497686757277,1.783800386311726,8
2024/2025,Paris Saint-Germain,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.543411188504785,10.525005406944782,14.132211840325201,0.692926398563098,1.3156256758680978,1.7665264800406502,8
2024/2025,Juventus,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.339959127569137,10.385893704820171,14.150903010232962,0.6674948909461422,1.2982367131025214,1.7688628762791203,8
2024/2025,Lille,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.471125071186439,10.205006734569638,13.752020410309832,0.6838906338983047,1.2756258418212045,1.7190025512887293,8
2024/2025,Liverpool,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.037119067109093,10.020905586155003,13.818820047882877,0.6296398833886367,1.2526131982693751,1.7273525059853594,8
2024/2025,Sparta Prague,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.27167015693107,9.938134938371109,13.432900616470958,0.6589587696163837,1.2422668672963886,1.67911257705887,8
2025/2026,Pafos FC,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,9.348652279968382,12.811494300446622,16.224033586147012,1.1685815349960476,1.6014367875558275,2.0280041982683765,8
2025/2026,Olympiacos,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,9.20268110801072,12.459333205832836,15.666140483015337,1.1503351385013398,1.5574166507291047,1.9582675603769168,8
2025/2026,Villarreal,1655.63,1801.805,1949.33,8,8,8,8,8,8,0,0,0,8.93125682731336,12.365935258129422,15.876903625986335,1.11640710341417,1.5457419072661778,1.9846129532482921,8
